Recall,FP_h,TP,FP,evaluator,theta,N,seed,pctl
0.3716508210890233,21.871396895787143,430,548,eval_at,2.0477236080169674,10,1,84.0
0.36732929991356955,20.793791574279382,425,521,eval_at,2.1116834819316863,10,1,84.5
0.3647363872082973,19.875831485587586,422,498,eval_at,2.180691981315613,10,1,85.0
0.3595505617977528,19.157427937915745,416,480,eval_at,2.251667239665983,10,1,85.5
0.3543647363872083,18.23946784922395,410,457,eval_at,2.319008326530456,10,1,86.0
0.3465859982713915,17.28159645232816,401,433,eval_at,2.4063841819763185,10,1,86.5
0.34485738980121,16.643015521064303,399,417,eval_at,2.4992973089218133,10,1,87.0
0.33967156439066554,15.645232815964524,393,392,eval_at,2.5991430282592773,10,1,87.5
0.33189282627484873,14.567627494456763,384,365,eval_at,2.695555181503296,10,1,88.0
0.32497839239412274,13.968957871396897,376,350,eval_at,2.7989773821830743,10,1,88.5
0.31892826274848746,13.01108647450111,369,326,eval_at,2.9295791482925417,10,1,89.0
0.31201382886776147,11.97339246119734,361,300,eval_at,3.0606482231616985,10,1,89.5
0.30423509075194466,11.374722838137473,352,285,eval_at,3.2140692710876455,10,1,90.0
0.29818496110630943,10.855875831485589,345,272,eval_at,3.3825698196887988,10,1,90.5
0.2878133102852204,10.736141906873614,333,269,eval_at,3.5344421863555966,10,1,91.0
0.2783059636992221,9.977827050997783,322,250,eval_at,3.726195061206816,10,1,91.5
0.26879861711322384,9.099778270509978,311,228,eval_at,3.9327110290527347,10,1,92.0
0.25842696629213485,8.221729490022174,299,206,eval_at,4.189522886276261,10,1,92.5
0.2480553154710458,7.343680709534369,287,184,eval_at,4.446857638359069,10,1,93.0
0.24200518582541056,6.505543237250555,280,163,eval_at,4.7851304745674135,10,1,93.5
0.23163353500432152,5.547671840354767,268,139,eval_at,5.122640762329101,10,1,94.0
0.22039757994814174,5.108647450110865,255,128,eval_at,5.605507848262787,10,1,94.5
0.2065687121866897,4.3503325942350335,239,109,eval_at,6.14375765323637,10,1,95.0
0.19101123595505617,4.070953436807096,221,102,eval_at,6.810866885185235,10,1,95.5
