species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
False killer whale,2,2,0.6630978419690197,0.1876503135141057,5,13,2
False killer whale,2,3,0.7733070833808556,0.17095040083191085,5,13,2
False killer whale,2,4,0.62666215233937,0.11682961329846746,5,13,2
False killer whale,2,5,0.73234109876951,0.06723585940767003,5,13,2
False killer whale,2,6,0.8306103477571556,0.11122235200783756,5,13,2
False killer whale,2,7,0.7276788233681694,0.10834876950193129,5,13,2
False killer whale,2,8,0.8117572079294811,0.028548376721036134,5,13,2
False killer whale,2,9,0.7977271666628496,0.1396393453621084,5,13,2
False killer whale,4,0,0.7750885774966819,0.08106517909126015,5,13,4
False killer whale,4,1,0.7845393913094372,0.20671920092960394,5,13,4
False killer whale,4,2,0.7876385846803033,0.0895588502113166,5,13,4
False killer whale,4,3,0.8180013575699749,0.12838285453610868,5,13,4
False killer whale,4,4,0.7833707834358583,0.2202346137985404,5,13,4
False killer whale,4,5,0.7887258808212193,0.11803913753864079,5,13,4
False killer whale,4,6,0.7810561447064311,0.2359537254698228,5,13,4
False killer whale,4,7,0.8693176677297719,0.0692699524187213,5,13,4
False killer whale,4,8,0.7356185447844326,0.1995287262958122,5,13,4
False killer whale,4,9,0.6858520919176001,0.18592545048370837,5,13,4
False killer whale,8,0,0.826329695220154,0.16481867700420713,5,13,8
False killer whale,8,1,0.7808627451798869,0.21033998815398142,5,13,8
False killer whale,8,2,0.7878665390931496,0.18483650241863295,5,13,8
False killer whale,8,3,0.8379864969756785,0.13575062484097042,5,13,8
False killer whale,8,4,0.8474695004018606,0.15575044526838797,5,13,8
False killer whale,8,5,0.8077769197516069,0.18620051051335557,5,13,8
False killer whale,8,6,0.8223954985419519,0.13688625415141661,5,13,8
False killer whale,8,7,0.8582319728394656,0.10550373824081774,5,13,8
False killer whale,8,8,0.8196733524907012,0.184149048557398,5,13,8
False killer whale,8,9,0.8285165674540472,0.192978150115366,5,13,8
False killer whale,16,0,0.8248594765087726,0.2188812668675045,5,13,11
False killer whale,16,1,0.8248594765087726,0.2188812668675045,5,13,11
False killer whale,16,2,0.8248594765087726,0.2188812668675045,5,13,11
False killer whale,16,3,0.8248594765087726,0.2188812668675045,5,13,11
False killer whale,16,4,0.8248594765087726,0.2188812668675045,5,13,11
False killer whale,16,5,0.8248594765087726,0.2188812668675045,5,13,11
False killer whale,16,6,0.8248594765087726,0.2188812668675045,5,13,11
False killer whale,16,7,0.8248594765087726,0.2188812668675045,5,13,11
False killer whale,16,8,0.8248594765087726,0.2188812668675045,5,13,11
False killer whale,16,9,0.8248594765087726,0.2188812668675045,5,13,11
False killer whale,all,0,0.8248594765087726,0.2188812668675045,5,13,11
Short-finned pilot whale,1,0,0.6493288909508246,0.14242603922478614,5,11,1
Short-finned pilot whale,1,1,0.49287067053406025,0.2423910397107837,4,11,1
Short-finned pilot whale,1,2,0.6287980371414363,0.13143401398583449,5,11,1
Short-finned pilot whale,1,3,0.5871006839023256,0.20742498331165848,4,11,1
Short-finned pilot whale,1,4,0.663577971126361,0.050136484275209794,5,11,1
Short-finned pilot whale,1,5,0.6658211299082449,0.09455337561377859,5,11,1
Short-finned pilot whale,1,6,0.6766637150264823,0.07894957308942813,5,11,1
Short-finned pilot whale,1,7,0.5516444133419366,0.20578848302346453,5,11,1
Short-finned pilot whale,1,8,0.5292965066365622,0.21871669677197433,5,11,1
Short-finned pilot whale,1,9,0.6597769336998852,0.16813115283675895,4,11,1
Short-finned pilot whale,2,0,0.7048693771443629,0.1361350476921355,5,11,2
Short-finned pilot whale,2,1,0.7352966073778253,0.06585336947579185,5,11,2
Short-finned pilot whale,2,2,0.6635455890265135,0.10918535101010182,5,11,2
Short-finned pilot whale,2,3,0.5612380916441295,0.1010007181552703,5,11,2
Short-finned pilot whale,2,4,0.6108179980289782,0.07822924178058593,5,11,2
Short-finned pilot whale,2,5,0.6258361557621904,0.14038211541566806,5,11,2
Short-finned pilot whale,2,6,0.694888077554554,0.06980976797773775,5,11,2
Short-finned pilot whale,2,7,0.6064117432297156,0.20475746830790748,5,11,2
Short-finned pilot whale,2,8,0.6751913947919059,0.1724730732997113,5,11,2
Short-finned pilot whale,2,9,0.5587571724052186,0.12727620529500516,5,11,2
Short-finned pilot whale,4,0,0.7705674472961789,0.07592071404352616,5,11,4
Short-finned pilot whale,4,1,0.6794870371290853,0.11996347995666082,5,11,4
Short-finned pilot whale,4,2,0.6770934444724819,0.1667444999778604,5,11,4
Short-finned pilot whale,4,3,0.713332643525683,0.08862091782958188,5,11,4
Short-finned pilot whale,4,4,0.6353206607799663,0.08860975497623125,5,11,4
Short-finned pilot whale,4,5,0.7543086149256628,0.06538540824290805,5,11,4
Short-finned pilot whale,4,6,0.7178842225916645,0.10678367391157317,5,11,4
Short-finned pilot whale,4,7,0.6749575901770408,0.1160992346743814,5,11,4
