species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
Rough-toothed dolphin,4,5,0.6215322902658447,0.33496036625115255,4,8,4
Rough-toothed dolphin,4,6,0.6823815095644984,0.2633559113432748,4,8,4
Rough-toothed dolphin,4,7,0.7174915846526664,0.24921326073812172,4,8,4
Rough-toothed dolphin,4,8,0.6070562996376663,0.3198694101230251,4,8,4
Rough-toothed dolphin,4,9,0.6460873771871247,0.3173170472680513,4,8,4
Rough-toothed dolphin,8,0,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,8,1,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,8,2,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,8,3,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,8,4,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,8,5,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,8,6,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,8,7,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,8,8,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,8,9,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,16,0,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,16,1,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,16,2,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,16,3,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,16,4,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,16,5,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,16,6,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,16,7,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,16,8,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,16,9,0.6370268917843733,0.29839620110385695,4,8,6
Rough-toothed dolphin,all,0,0.6370268917843733,0.29839620110385695,4,8,6
Offshore spotted dolphin,1,0,0.7155394091331592,0.2443124943886113,3,11,1
Offshore spotted dolphin,1,1,0.5383696474916989,0.25299215339405706,3,11,1
Offshore spotted dolphin,1,2,0.8030077871093496,0.12512140038664143,3,11,1
Offshore spotted dolphin,1,3,0.8851283101283101,0.05702373496491148,2,11,1
Offshore spotted dolphin,1,4,0.4280937456597891,0.12257452837739347,4,11,1
Offshore spotted dolphin,1,5,0.5600421353934513,0.13766961997551563,4,11,1
Offshore spotted dolphin,1,6,0.6045657940636897,0.2366106765245456,2,11,1
Offshore spotted dolphin,1,7,0.43927847447549984,0.12685790289108786,4,11,1
Offshore spotted dolphin,1,8,0.46606940487684967,0.17751568907371956,3,11,1
Offshore spotted dolphin,1,9,0.7578992536481912,0.1475423001762928,4,11,1
Offshore spotted dolphin,2,0,0.5405052112644421,0.06891213540095151,4,11,2
Offshore spotted dolphin,2,1,0.6305999330347012,0.146012795663425,4,11,2
Offshore spotted dolphin,2,2,0.4958369862853113,0.17672850979410137,4,11,2
Offshore spotted dolphin,2,3,0.6001241642403098,0.1715377263401262,4,11,2
Offshore spotted dolphin,2,4,0.49407561117335,0.10254037804546602,4,11,2
Offshore spotted dolphin,2,5,0.7089431252105078,0.22345272588315315,4,11,2
Offshore spotted dolphin,2,6,0.5994915676956849,0.1502412250953903,4,11,2
Offshore spotted dolphin,2,7,0.5561939154095341,0.20405696556801092,4,11,2
Offshore spotted dolphin,2,8,0.569832474686212,0.1426821082363826,4,11,2
Offshore spotted dolphin,2,9,0.5108774985880784,0.21638976023594172,4,11,2
Offshore spotted dolphin,4,0,0.5344793246732044,0.19856500570409352,4,11,4
Offshore spotted dolphin,4,1,0.5263893575869891,0.16764999671039948,4,11,4
Offshore spotted dolphin,4,2,0.6597561884847695,0.1334633262997849,4,11,4
Offshore spotted dolphin,4,3,0.533409123181396,0.2070652671595427,4,11,4
Offshore spotted dolphin,4,4,0.591632246757488,0.15654737435018543,4,11,4
Offshore spotted dolphin,4,5,0.5068518473986661,0.20609379417912038,4,11,4
Offshore spotted dolphin,4,6,0.5056189593569084,0.22314114667532173,4,11,4
Offshore spotted dolphin,4,7,0.5205021993101632,0.19093322419801498,4,11,4
Offshore spotted dolphin,4,8,0.5757253876193559,0.14809682761692053,4,11,4
Offshore spotted dolphin,4,9,0.5684388880607643,0.12511057415302096,4,11,4
Offshore spotted dolphin,8,0,0.499735389944341,0.2154653799231943,4,11,8
Offshore spotted dolphin,8,1,0.5178919154538077,0.1970095270776818,4,11,8
Offshore spotted dolphin,8,2,0.5008283947138163,0.21426877725205062,4,11,8
Offshore spotted dolphin,8,3,0.5005754679903014,0.214544784996329,4,11,8
Offshore spotted dolphin,8,4,0.5208367051633033,0.19433088800152382,4,11,8
Offshore spotted dolphin,8,5,0.5469423562689544,0.17534760165305893,4,11,8
Offshore spotted dolphin,8,6,0.5171873338668732,0.19766455981934514,4,11,8
Offshore spotted dolphin,8,7,0.5005754679903014,0.214544784996329,4,11,8
Offshore spotted dolphin,8,8,0.5650175839030056,0.16817711771225524,4,11,8
Offshore spotted dolphin,8,9,0.4935296521209562,0.22244279662557412,4,11,8
Offshore spotted dolphin,16,0,0.5080368063339927,0.20663813775348588,4,11,8
Offshore spotted dolphin,16,1,0.5080368063339927,0.20663813775348588,4,11,8
Offshore spotted dolphin,16,2,0.5080368063339927,0.20663813775348588,4,11,8
Offshore spotted dolphin,16,3,0.5080368063339927,0.20663813775348588,4,11,8
Offshore spotted dolphin,16,4,0.5080368063339927,0.20663813775348588,4,11,8
Offshore spotted dolphin,16,5,0.5080368063339927,0.20663813775348588,4,11,8
Offshore spotted dolphin,16,6,0.5080368063339927,0.20663813775348588,4,11,8
Offshore spotted dolphin,16,7,0.5080368063339927,0.20663813775348588,4,11,8
Offshore spotted dolphin,16,8,0.5080368063339927,0.20663813775348588,4,11,8
Offshore spotted dolphin,16,9,0.5080368063339927,0.20663813775348588,4,11,8
Offshore spotted dolphin,all,0,0.5080368063339927,0.20663813775348588,4,11,8
Striped dolphin,1,0,0.5745844125936301,0.300392304816264,4,9,1
Striped dolphin,1,1,0.5561241113606731,0.05654651363734505,4,9,1
Striped dolphin,1,2,0.8197370654853777,0.24256322013631276,4,9,1
Striped dolphin,1,3,0.7435245883019908,0.27581358040153137,4,9,1
Striped dolphin,1,4,0.4197565291230746,0.32977821681376357,4,9,1
Striped dolphin,1,5,0.6581340892043464,0.3118262965892331,4,9,1
Striped dolphin,1,6,0.5163260934789713,0.2637967751976048,4,9,1
Striped dolphin,1,7,0.6196332174752116,0.09028872961657267,4,9,1
Striped dolphin,1,8,0.7371396271575039,0.23430889762638898,4,9,1
Striped dolphin,1,9,0.5276309974987635,0.24335927982357536,4,9,1
Striped dolphin,2,0,0.6146491908560818,0.2044952805034015,4,9,2
Striped dolphin,2,1,0.46355833536025026,0.11852015478195004,4,9,2
Striped dolphin,2,2,0.6074953140733029,0.3709173856599993,4,9,2
Striped dolphin,2,3,0.7059781405355183,0.2335444929690669,4,9,2
Striped dolphin,2,4,0.6070085714046927,0.3326098597419767,4,9,2
Striped dolphin,2,5,0.5958839668825461,0.21322555325231377,4,9,2
Striped dolphin,2,6,0.460265528999698,0.10233213185044879,4,9,2
Striped dolphin,2,7,0.770342585520671,0.21816864665000404,4,9,2
Striped dolphin,2,8,0.5686445834295963,0.2820728534649875,4,9,2
Striped dolphin,2,9,0.6484764852067261,0.20728834495744272,4,9,2
Striped dolphin,4,0,0.42447335883206283,0.20377105841153714,4,9,4
Striped dolphin,4,1,0.6567011917184257,0.28558807520299495,4,9,4
Striped dolphin,4,2,0.6631827873412663,0.2593186476632955,4,9,4
Striped dolphin,4,3,0.5842266388342361,0.26993782660154203,4,9,4
Striped dolphin,4,4,0.6072922248441475,0.14911962224504566,4,9,4
Striped dolphin,4,5,0.503329896026255,0.09146391657582041,4,9,4
Striped dolphin,4,6,0.730576637568809,0.20133987568142972,4,9,4
Striped dolphin,4,7,0.7040054067493412,0.19081223282502696,4,9,4
Striped dolphin,4,8,0.74133145181649,0.171019202696824,4,9,4
Striped dolphin,4,9,0.6891578118771833,0.16528016772742143,4,9,4
Striped dolphin,8,0,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,8,1,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,8,2,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,8,3,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,8,4,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,8,5,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,8,6,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,8,7,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,8,8,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,8,9,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,16,0,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,16,1,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,16,2,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,16,3,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,16,4,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,16,5,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,16,6,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,16,7,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,16,8,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,16,9,0.7176992669103098,0.19806751166192768,4,9,7
Striped dolphin,all,0,0.7176992669103098,0.19806751166192768,4,9,7
