species,N,seed,auc_mean,auc_std,n_folds_used,n_pos_total
Rough-toothed dolphin,30,4,0.9767688363224079,0.017666327019222147,5,105
Rough-toothed dolphin,100,0,0.9839583977530406,0.01410232299793409,5,105
Rough-toothed dolphin,100,1,0.9839583977530406,0.01410232299793409,5,105
Rough-toothed dolphin,100,2,0.9839583977530406,0.01410232299793409,5,105
Rough-toothed dolphin,100,3,0.9839583977530406,0.01410232299793409,5,105
Rough-toothed dolphin,100,4,0.9839583977530406,0.01410232299793409,5,105
Rough-toothed dolphin,300,0,0.9839583977530406,0.01410232299793409,5,105
Rough-toothed dolphin,300,1,0.9839583977530406,0.01410232299793409,5,105
Rough-toothed dolphin,300,2,0.9839583977530406,0.01410232299793409,5,105
Rough-toothed dolphin,300,3,0.9839583977530406,0.01410232299793409,5,105
Rough-toothed dolphin,300,4,0.9839583977530406,0.01410232299793409,5,105
Rough-toothed dolphin,1000,0,0.9839583977530406,0.01410232299793409,5,105
Rough-toothed dolphin,1000,1,0.9839583977530406,0.01410232299793409,5,105
Rough-toothed dolphin,1000,2,0.9839583977530406,0.01410232299793409,5,105
Rough-toothed dolphin,1000,3,0.9839583977530406,0.01410232299793409,5,105
Rough-toothed dolphin,1000,4,0.9839583977530406,0.01410232299793409,5,105
Rough-toothed dolphin,all,0,0.9839583977530406,0.01410232299793409,5,105
Offshore spotted dolphin,10,0,0.8731975108225107,0.03440123220086714,5,123
Offshore spotted dolphin,10,1,0.8551607142857144,0.03783875210480628,5,123
Offshore spotted dolphin,10,2,0.8343828463203463,0.05551348122010885,5,123
Offshore spotted dolphin,10,3,0.8566387987012988,0.02658140253354023,5,123
Offshore spotted dolphin,10,4,0.8020741341991343,0.10062664788117617,5,123
Offshore spotted dolphin,30,0,0.9121344696969697,0.03000249216319234,5,123
Offshore spotted dolphin,30,1,0.9267307900432902,0.016431442600831393,5,123
Offshore spotted dolphin,30,2,0.8977426948051948,0.01980722110580293,5,123
Offshore spotted dolphin,30,3,0.9120551948051949,0.030328502327315675,5,123
Offshore spotted dolphin,30,4,0.9106699134199134,0.0387322613021206,5,123
Offshore spotted dolphin,100,0,0.961730248917749,0.01962046718269714,5,123
Offshore spotted dolphin,100,1,0.961730248917749,0.01962046718269714,5,123
Offshore spotted dolphin,100,2,0.961730248917749,0.01962046718269714,5,123
Offshore spotted dolphin,100,3,0.961730248917749,0.01962046718269714,5,123
Offshore spotted dolphin,100,4,0.961730248917749,0.01962046718269714,5,123
Offshore spotted dolphin,300,0,0.961730248917749,0.01962046718269714,5,123
Offshore spotted dolphin,300,1,0.961730248917749,0.01962046718269714,5,123
Offshore spotted dolphin,300,2,0.961730248917749,0.01962046718269714,5,123
