evaluator,return,th,hr,alpha,pctl
eval_at,"[0.03197925669835782, 11.454545454545455, 37, 287]",0.8207398648543459,25.055555555555554,0.0,79.99999999999943
eval_at,"[0.032843560933448576, 11.374722838137473, 38, 285]",0.8272666350001734,25.055555555555554,0.0,80.09999999999943
eval_at,"[0.032843560933448576, 11.414634146341465, 38, 286]",0.8361550991416822,25.055555555555554,0.0,80.19999999999942
eval_at,"[0.032843560933448576, 11.534368070953438, 38, 289]",0.8463362231686591,25.055555555555554,0.0,80.29999999999941
eval_at,"[0.032843560933448576, 11.374722838137473, 38, 285]",0.8526778407617805,25.055555555555554,0.0,80.39999999999941
eval_at,"[0.03457216940363008, 11.374722838137473, 40, 285]",0.8609041625611756,25.055555555555554,0.0,80.4999999999994
eval_at,"[0.033707865168539325, 11.21507760532151, 39, 281]",0.8682000061925418,25.055555555555554,0.0,80.5999999999994
eval_at,"[0.032843560933448576, 11.29490022172949, 38, 283]",0.8760540921992368,25.055555555555554,0.0,80.69999999999939
eval_at,"[0.03457216940363008, 11.2549889135255, 40, 282]",0.8825514377060562,25.055555555555554,0.0,80.79999999999939
eval_at,"[0.036300777873811585, 11.175166297117517, 42, 280]",0.8910647542929333,25.055555555555554,0.0,80.89999999999938
eval_at,"[0.03543647363872083, 11.175166297117517, 41, 280]",0.8992482664627424,25.055555555555554,0.0,80.99999999999937
eval_at,"[0.03543647363872083, 11.494456762749447, 41, 288]",0.9070923072815765,25.055555555555554,0.0,81.09999999999937
eval_at,"[0.037165082108902334, 11.534368070953438, 43, 289]",0.9152043607785766,25.055555555555554,0.0,81.19999999999936
eval_at,"[0.037165082108902334, 11.534368070953438, 43, 289]",0.9212533607681174,25.055555555555554,0.0,81.29999999999936
eval_at,"[0.037165082108902334, 11.57427937915743, 43, 290]",0.9268940616757178,25.055555555555554,0.0,81.39999999999935
eval_at,"[0.037165082108902334, 11.61419068736142, 43, 291]",0.9352496563484688,25.055555555555554,0.0,81.49999999999935
eval_at,"[0.03802938634399308, 11.694013303769403, 44, 293]",0.9442780913310125,25.055555555555554,0.0,81.59999999999934
eval_at,"[0.03975799481417459, 11.494456762749447, 46, 288]",0.9517292571438557,25.055555555555554,0.0,81.69999999999933
eval_at,"[0.04235090751944685, 11.65410199556541, 49, 292]",0.9583718688142517,25.055555555555554,0.0,81.79999999999933
eval_at,"[0.043215211754537596, 11.733924611973393, 50, 294]",0.9671377337998023,25.055555555555554,0.0,81.89999999999932
eval_at,"[0.04407951598962835, 11.773835920177385, 51, 295]",0.9742751533908999,25.055555555555554,0.0,81.99999999999932
eval_at,"[0.043215211754537596, 11.893569844789358, 50, 298]",0.9806236948626029,25.055555555555554,0.0,82.09999999999931
