evaluator,return,theta,hours,N,seed,pctl
eval_at,"[0.46845289541918755, 27.578713968957874, 542, 691, 615, 1233]",1.5288959872722627,25.055555555555554,10,0,76.5
eval_at,"[0.46499567847882456, 26.70066518847007, 538, 669, 619, 1207]",1.5753023934364325,25.055555555555554,10,0,77.0
eval_at,"[0.46153846153846156, 26.06208425720621, 534, 653, 623, 1187]",1.6246846079826354,25.055555555555554,10,0,77.5
eval_at,"[0.4554883318928263, 25.662971175166298, 527, 643, 630, 1170]",1.6742294359207155,25.055555555555554,10,0,78.0
eval_at,"[0.452895419187554, 24.864745011086477, 524, 623, 633, 1147]",1.7263087016344079,25.055555555555554,10,0,78.5
eval_at,"[0.45375972342264476, 24.186252771618626, 525, 606, 632, 1131]",1.779195111989975,25.055555555555554,10,0,79.0
eval_at,"[0.452895419187554, 23.62749445676275, 524, 592, 633, 1116]",1.8322530269622812,25.055555555555554,10,0,79.5
eval_at,"[0.44770959377700953, 22.90909090909091, 518, 574, 639, 1092]",1.8914345026016246,25.055555555555554,10,0,80.0
eval_at,"[0.44511668107173724, 22.0709534368071, 515, 553, 642, 1068]",1.9568842899799348,25.055555555555554,10,0,80.5
eval_at,"[0.44338807260155577, 21.232815964523283, 513, 532, 644, 1045]",2.020938916206361,25.055555555555554,10,0,81.0
eval_at,"[0.4407951598962835, 20.594235033259427, 510, 516, 647, 1026]",2.0875060594081876,25.055555555555554,10,0,81.5
eval_at,"[0.4364736387208297, 19.7960088691796, 505, 496, 652, 1001]",2.159828543663025,25.055555555555554,10,0,82.0
eval_at,"[0.428694900605013, 19.3569844789357, 496, 485, 661, 981]",2.2331180632114394,25.055555555555554,10,0,82.5
eval_at,"[0.42523768366465, 19.07760532150776, 492, 478, 665, 970]",2.3170690464973447,25.055555555555554,10,0,83.0
eval_at,"[0.4157303370786517, 18.199556541019955, 481, 456, 676, 937]",2.4002133429050447,25.055555555555554,10,0,83.5
eval_at,"[0.4140017286084702, 17.84035476718404, 479, 447, 678, 926]",2.4914441585540765,25.055555555555554,10,0,84.0
eval_at,"[0.4105445116681072, 17.48115299334812, 475, 438, 682, 913]",2.583519928455352,25.055555555555554,10,0,84.5
eval_at,"[0.4070872947277442, 17.16186252771619, 471, 430, 686, 901]",2.685835599899292,25.055555555555554,10,0,85.0
eval_at,"[0.4010371650821089, 16.643015521064303, 464, 417, 693, 881]",2.788341128826139,25.055555555555554,10,0,85.5
eval_at,"[0.3915298184961106, 16.044345898004437, 453, 402, 704, 855]",2.9012749576568604,25.055555555555554,10,0,86.0
eval_at,"[0.37683664649956783, 15.405764966740577, 436, 386, 721, 822]",3.0160652399063115,25.055555555555554,10,0,86.5
eval_at,"[0.36992221261884184, 14.647450110864746, 428, 367, 729, 795]",3.1336027669906614,25.055555555555554,10,0,87.0
eval_at,"[0.36041486603284356, 14.04878048780488, 417, 352, 740, 769]",3.2613556683063507,25.055555555555554,10,0,87.5
eval_at,"[0.34917891097666376, 13.290465631929047, 404, 333, 753, 737]",3.4007286262512215,25.055555555555554,10,0,88.0
eval_at,"[0.33707865168539325, 12.532150776053216, 390, 314, 767, 704]",3.5489837682247156,25.055555555555554,10,0,88.5
eval_at,"[0.33189282627484873, 12.093126385809313, 384, 303, 773, 687]",3.727567267417909,25.055555555555554,10,0,89.0
eval_at,"[0.32497839239412274, 11.733924611973393, 376, 294, 781, 670]",3.8838573956489597,25.055555555555554,10,0,89.5
eval_at,"[0.31547104580812446, 10.815964523281597, 365, 271, 792, 636]",4.067215681076049,25.055555555555554,10,0,90.0
eval_at,"[0.31287813310285223, 10.137472283813748, 362, 254, 795, 616]",4.271926622390748,25.055555555555554,10,0,90.5
eval_at,"[0.29732065687121867, 9.339246119733925, 344, 234, 813, 578]",4.480112733840943,25.055555555555554,10,0,91.0
eval_at,"[0.28694900605012963, 8.74057649667406, 332, 219, 825, 551]",4.728268339633941,25.055555555555554,10,0,91.5
eval_at,"[0.27398444252376836, 8.181818181818182, 317, 205, 840, 522]",4.967131690979006,25.055555555555554,10,0,92.0
eval_at,"[0.2601555747623163, 7.623059866962307, 301, 191, 856, 492]",5.307991230487825,25.055555555555554,10,0,92.5
eval_at,"[0.2480553154710458, 7.223946784922395, 287, 181, 870, 468]",5.680713696479797,25.055555555555554,10,0,93.0
eval_at,"[0.22990492653414002, 6.944567627494457, 266, 174, 891, 440]",6.14485087156296,25.055555555555554,10,0,93.5
