Recall,FP_h,TP,FP,evaluator,theta,pctl,theta_q,theta_p,pctl_q,pctl_p
0.5220397579948142,54.19955654101996,604,1358,eval_union,,99.5,2.6745355892181393,0.21588158383965503,98.0,52.5
0.526361279170268,53.84035476718404,609,1349,eval_union,,99.5,2.6745355892181393,0.23861214056611066,98.0,53.0
0.5280898876404494,53.64079822616409,611,1344,eval_union,,99.5,2.6745355892181393,0.26185544788837434,98.0,53.5
0.5306828003457217,53.68070953436808,614,1345,eval_union,,99.5,2.6745355892181393,0.2824584150314332,98.0,54.0
0.5350043215211755,53.44124168514413,619,1339,eval_union,,99.5,2.6745355892181393,0.3039244891703129,98.0,54.5
0.5375972342264477,53.76053215077606,622,1347,eval_union,,99.5,2.6745355892181393,0.3262671649456025,98.0,55.0
0.5393258426966292,53.5609756097561,624,1342,eval_union,,99.5,2.6745355892181393,0.3467662724852562,98.0,55.5
0.5419187554019015,53.48115299334812,627,1340,eval_union,,99.5,2.6745355892181393,0.3696902775764466,98.0,56.0
0.5427830596369922,53.1219512195122,628,1331,eval_union,,99.5,2.6745355892181393,0.39403564170002897,98.0,56.5
0.5453759723422644,53.241685144124176,631,1334,eval_union,,99.5,2.6745355892181393,0.4158895432949063,98.0,57.0
0.5427830596369922,52.922394678492246,628,1326,eval_union,,99.5,2.6745355892181393,0.4408461287617683,98.0,57.5
0.547104580812446,52.72283813747229,633,1321,eval_union,,99.5,2.6745355892181393,0.4636224222183222,98.0,58.0
0.547104580812446,52.00443458980045,633,1303,eval_union,,99.5,2.6745355892181393,0.4862138393521306,98.0,58.5
0.550561797752809,52.04434589800444,637,1304,eval_union,,99.5,2.6745355892181393,0.5100289094448089,98.0,59.0
0.5522904062229905,52.04434589800444,639,1304,eval_union,,99.5,2.6745355892181393,0.53369487285614,98.0,59.5
0.5531547104580813,51.804878048780495,640,1298,eval_union,,99.5,2.6745355892181393,0.5609069585800168,98.0,60.0
0.5514261019878998,51.605321507760536,638,1293,eval_union,,99.5,2.6745355892181393,0.5843599221110344,98.0,60.5
0.5557476231633535,51.126385809312644,643,1281,eval_union,,99.5,2.6745355892181393,0.6091355311870574,98.0,61.0
0.5566119273984442,50.647450110864746,644,1269,eval_union,,99.5,2.6745355892181393,0.6337484446167945,98.0,61.5
0.5566119273984442,50.607538802660756,644,1268,eval_union,,99.5,2.6745355892181393,0.6624158799648286,98.0,62.0
0.5566119273984442,50.447893569844794,644,1264,eval_union,,99.5,2.6745355892181393,0.6881835907697678,98.0,62.5
0.5557476231633535,50.208425720620845,643,1258,eval_union,,99.5,2.6745355892181393,0.7135676008462906,98.0,63.0
0.5566119273984442,49.64966740576497,644,1244,eval_union,,99.5,2.6745355892181393,0.7418914434313776,98.0,63.5
0.5548833189282627,49.01108647450111,642,1228,eval_union,,99.5,2.6745355892181393,0.7703533840179444,98.0,64.0
0.5531547104580813,48.77161862527716,640,1222,eval_union,,99.5,2.6745355892181393,0.8025784644484519,98.0,64.5
0.5548833189282627,48.49223946784923,642,1215,eval_union,,99.5,2.6745355892181393,0.8315627306699753,98.0,65.0
0.5566119273984442,47.73392461197339,644,1196,eval_union,,99.5,2.6745355892181393,0.8658838188648225,98.0,65.5
0.557476231633535,47.13525498891353,645,1181,eval_union,,99.5,2.6745355892181393,0.8965475130081176,98.0,66.0
0.5566119273984442,46.57649667405765,644,1167,eval_union,,99.5,2.6745355892181393,0.9232272216677666,98.0,66.5
0.5557476231633535,46.09756097560976,643,1155,eval_union,,99.5,2.6745355892181393,0.9576035112142568,98.0,67.0
0.5548833189282627,45.69844789356985,642,1145,eval_union,,99.5,2.6745355892181393,0.9907978430390358,98.0,67.5
0.5583405358686258,45.29933481152994,646,1135,eval_union,,99.5,2.6745355892181393,1.0248948192596439,98.0,68.0
0.5566119273984442,45.05986696230599,644,1129,eval_union,,99.5,2.6745355892181393,1.0617841202020648,98.0,68.5
0.5600691443388073,44.18181818181819,648,1107,eval_union,,99.5,2.6745355892181393,1.0956259822845453,98.0,69.0
0.560933448573898,43.383592017738366,649,1087,eval_union,,99.5,2.6745355892181393,1.1298832172155377,98.0,69.5
0.5635263612791702,42.54545454545455,652,1066,eval_union,,99.5,2.6745355892181393,1.1659016728401184,98.0,70.0
0.564390665514261,41.946784922394684,653,1051,eval_union,,99.5,2.6745355892181393,1.2029517996311185,98.0,70.5
0.5626620570440796,41.348115299334815,651,1036,eval_union,,99.5,2.6745355892181393,1.2367551493644713,98.0,71.0
0.560933448573898,40.54988913525499,649,1016,eval_union,,99.5,2.6745355892181393,1.2753512686491013,98.0,71.5
0.5635263612791702,40.031042128603104,652,1003,eval_union,,99.5,2.6745355892181393,1.313337516784667,98.0,72.0
0.5635263612791702,39.19290465631929,652,982,eval_union,,99.5,2.6745355892181393,1.3550862908363333,98.0,72.5
0.564390665514261,38.7139689578714,653,970,eval_union,,99.5,2.6745355892181393,1.4004395008087156,98.0,73.0
0.5635263612791702,38.23503325942351,652,958,eval_union,,99.5,2.6745355892181393,1.447225480079651,98.0,73.5
0.5600691443388073,37.47671840354767,648,939,eval_union,,99.5,2.6745355892181393,1.4940763139724755,98.0,74.0
0.5583405358686258,36.55875831485588,646,916,eval_union,,99.5,2.6745355892181393,1.5394434517621989,98.0,74.5
0.5548833189282627,36.039911308204,642,903,eval_union,,99.5,2.6745355892181393,1.5910484492778778,98.0,75.0
0.5548833189282627,35.64079822616408,642,893,eval_union,,99.5,2.6745355892181393,1.637551926970482,98.0,75.5
0.554019014693172,35.48115299334812,641,889,eval_union,,99.5,2.6745355892181393,1.6867225074768064,98.0,76.0
0.5514261019878998,35.32150776053216,638,885,eval_union,,99.5,2.6745355892181393,1.7353397941589357,98.0,76.5
0.5462402765773552,34.76274944567628,632,871,eval_union,,99.5,2.6745355892181393,1.789190582036973,98.0,77.0
0.5410544511668107,33.964523281596456,626,851,eval_union,,99.5,2.6745355892181393,1.845455855131149,98.0,77.5
0.5410544511668107,33.166297117516635,626,831,eval_union,,99.5,2.6745355892181393,1.907536187171936,98.0,78.0
0.5393258426966292,32.567627494456765,624,816,eval_union,,99.5,2.6745355892181393,1.968847541213037,98.0,78.5
0.5367329299913569,31.849223946784925,621,798,eval_union,,99.5,2.6745355892181393,2.030156440734863,98.0,79.0
0.5324114088159032,31.090909090909093,616,779,eval_union,,99.5,2.6745355892181393,2.1054047334194186,98.0,79.5
