pctl_q,theta_q,pctl_p,theta_p,Recall,FP_h,TP,FP,Pred
97,2.389908382892608,62.0,0.6289117872714997,0.5324114088159032,53.88026607538803,616,1350,1966
97,2.389908382892608,62.5,0.6533820331096649,0.5324114088159032,53.36141906873615,616,1337,1953
97,2.389908382892608,63.0,0.6831670719385142,0.5306828003457217,53.241685144124176,614,1334,1948
97,2.389908382892608,63.5,0.7098419928550724,0.5324114088159032,52.922394678492246,616,1326,1942
97,2.389908382892608,64.0,0.7381514167785644,0.5324114088159032,52.76274944567628,616,1322,1938
97,2.389908382892608,64.5,0.764243181347847,0.5315471045808124,52.12416851441242,615,1306,1921
97,2.389908382892608,65.0,0.7910401135683061,0.533275713050994,51.804878048780495,617,1298,1915
97,2.389908382892608,65.5,0.8190016227960588,0.533275713050994,51.405764966740584,617,1288,1905
97,2.389908382892608,66.0,0.8498276674747467,0.533275713050994,50.886917960088695,617,1275,1892
97,2.389908382892608,66.5,0.878896164894104,0.5358686257562663,50.288248337028826,620,1260,1880
97,2.389908382892608,67.0,0.9106361728906633,0.5324114088159032,49.9689578713969,616,1252,1868
97,2.389908382892608,67.5,0.9385085552930833,0.533275713050994,49.68957871396896,617,1245,1862
97,2.389908382892608,68.0,0.9666943550109866,0.54019014693172,49.0509977827051,625,1229,1854
97,2.389908382892608,68.5,0.9929769545793534,0.5410544511668107,48.53215077605322,626,1216,1842
97,2.389908382892608,69.0,1.0231032216548914,0.5419187554019015,47.81374722838138,627,1198,1825
97,2.389908382892608,69.5,1.0563565552234644,0.5393258426966292,46.93569844789357,624,1176,1800
97,2.389908382892608,70.0,1.0908433079719542,0.5393258426966292,46.53658536585366,624,1166,1790
97,2.389908382892608,70.5,1.1248327416181563,0.5384615384615384,45.85809312638581,623,1149,1772
97,2.389908382892608,71.0,1.1584407019615157,0.54019014693172,45.33924611973393,625,1136,1761
97,2.389908382892608,71.5,1.1988615226745605,0.54019014693172,44.5809312638581,625,1117,1742
97,2.389908382892608,72.0,1.23315447807312,0.5419187554019015,43.86252771618626,627,1099,1726
97,2.389908382892608,72.5,1.2662764459848403,0.5427830596369922,42.94456762749446,628,1076,1704
97,2.389908382892608,73.0,1.3011794543266295,0.5427830596369922,42.665188470066525,628,1069,1697
97,2.389908382892608,73.5,1.3419092965126038,0.5384615384615384,41.747228381374725,623,1046,1669
97,2.389908382892608,74.0,1.37932553768158,0.5367329299913569,40.82926829268293,621,1023,1644
97,2.389908382892608,74.5,1.4226888734102243,0.5341400172860847,39.79157427937916,618,997,1615
97,2.389908382892608,75.0,1.4639769792556763,0.5315471045808124,39.27272727272727,615,984,1599
97,2.389908382892608,75.5,1.5006821799278272,0.5298184961106309,38.43458980044346,613,963,1576
97,2.389908382892608,76.0,1.5416811180114744,0.5272255834053586,37.59645232815965,610,942,1552
97,2.389908382892608,76.5,1.590722234249115,0.5272255834053586,36.83813747228382,610,923,1533
97,2.389908382892608,77.0,1.6407452356815342,0.526361279170268,35.68070953436808,609,894,1503
97,2.389908382892608,77.5,1.6886990547180165,0.5229040622299049,35.1219512195122,605,880,1485
97,2.389908382892608,78.0,1.7344632649421694,0.5203111495246326,34.2039911308204,602,857,1459
