Recall,FP_h,TP,FP,evaluator,th,enc_name,sname
0.22212618841832324,50.248337028824835,257,1259,eval_at,0.46776179045438765,OceanBEATs_fixed_valref,Mahalanobis_z
0.22385479688850476,50.208425720620845,259,1258,eval_at,0.4869286003708844,OceanBEATs_fixed_valref,Mahalanobis_z
0.2247191011235955,49.60975609756098,260,1243,eval_at,0.5044535899162294,OceanBEATs_fixed_valref,Mahalanobis_z
0.22039757994814174,49.29046563192905,255,1235,eval_at,0.5249285513162613,OceanBEATs_fixed_valref,Mahalanobis_z
0.21866897147796024,48.85144124168515,253,1224,eval_at,0.5434757351875307,OceanBEATs_fixed_valref,Mahalanobis_z
0.21694036300777875,48.45232815964523,251,1214,eval_at,0.5602767729759217,OceanBEATs_fixed_valref,Mahalanobis_z
0.21866897147796024,48.05321507760532,253,1204,eval_at,0.5823464643955231,OceanBEATs_fixed_valref,Mahalanobis_z
0.21348314606741572,47.77383592017739,247,1197,eval_at,0.602332379817963,OceanBEATs_fixed_valref,Mahalanobis_z
0.21175453759723423,47.61419068736142,245,1193,eval_at,0.6231696474552154,OceanBEATs_fixed_valref,Mahalanobis_z
0.21175453759723423,47.41463414634147,245,1188,eval_at,0.6452066063880921,OceanBEATs_fixed_valref,Mahalanobis_z
0.2065687121866897,46.73614190687362,239,1171,eval_at,0.6637833213806159,OceanBEATs_fixed_valref,Mahalanobis_z
0.20224719101123595,46.29711751662972,234,1160,eval_at,0.6836771357059481,OceanBEATs_fixed_valref,Mahalanobis_z
0.19706136560069146,45.85809312638581,228,1149,eval_at,0.7035486650466918,OceanBEATs_fixed_valref,Mahalanobis_z
0.19101123595505617,45.33924611973393,221,1136,eval_at,0.7231642955541611,OceanBEATs_fixed_valref,Mahalanobis_z
0.19014693171996544,45.17960088691796,220,1132,eval_at,0.743968719244003,OceanBEATs_fixed_valref,Mahalanobis_z
0.18668971477960242,45.019955654102,216,1128,eval_at,0.7647380638122557,OceanBEATs_fixed_valref,Mahalanobis_z
0.18496110630942092,44.82039911308205,214,1123,eval_at,0.7854027891159057,OceanBEATs_fixed_valref,Mahalanobis_z
0.18063958513396716,44.30155210643016,209,1110,eval_at,0.806789091527462,OceanBEATs_fixed_valref,Mahalanobis_z
0.1797752808988764,43.98226164079823,208,1102,eval_at,0.8269949698448177,OceanBEATs_fixed_valref,Mahalanobis_z
0.1797752808988764,43.86252771618626,208,1099,eval_at,0.8480331674218177,OceanBEATs_fixed_valref,Mahalanobis_z
0.1763180639585134,43.2239467849224,204,1083,eval_at,0.8681405866146086,OceanBEATs_fixed_valref,Mahalanobis_z
0.17113223854796888,42.86474501108648,198,1074,eval_at,0.8919596317410469,OceanBEATs_fixed_valref,Mahalanobis_z
0.1676750216076059,42.305986696230605,194,1060,eval_at,0.9116567754745485,OceanBEATs_fixed_valref,Mahalanobis_z
0.1676750216076059,41.827050997782706,194,1048,eval_at,0.9327349716424939,OceanBEATs_fixed_valref,Mahalanobis_z
0.1633535004321521,40.949002217294904,189,1026,eval_at,0.9543646723031998,OceanBEATs_fixed_valref,Mahalanobis_z
0.1598962834917891,41.068736141906875,185,1029,eval_at,0.9736274647712708,OceanBEATs_fixed_valref,Mahalanobis_z
0.1616248919619706,40.909090909090914,187,1025,eval_at,0.9913019800186155,OceanBEATs_fixed_valref,Mahalanobis_z
0.15730337078651685,39.951219512195124,182,1001,eval_at,1.0150163406133652,OceanBEATs_fixed_valref,Mahalanobis_z
0.1547104580812446,39.47228381374723,179,989,eval_at,1.0367732489109043,OceanBEATs_fixed_valref,Mahalanobis_z
0.15557476231633535,39.11308203991131,180,980,eval_at,1.0579249441623688,OceanBEATs_fixed_valref,Mahalanobis_z
0.15384615384615385,38.75388026607539,178,971,eval_at,1.081181881427765,OceanBEATs_fixed_valref,Mahalanobis_z
