species,N_days,seed,auc_mean,auc_std,n_folds_used,n_pos_days_total,n_days_used_median
Rough-toothed dolphin,8,8,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,8,9,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,16,0,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,16,1,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,16,2,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,16,3,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,16,4,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,16,5,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,16,6,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,16,7,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,16,8,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,16,9,0.6347860396893448,0.30547008417627936,4,8,6
Rough-toothed dolphin,all,0,0.6347860396893448,0.30547008417627936,4,8,6
Offshore spotted dolphin,1,0,0.6938213220083624,0.26128420589372203,3,11,1
Offshore spotted dolphin,1,1,0.5246693614727284,0.28033299540908085,3,11,1
Offshore spotted dolphin,1,2,0.7850973636750291,0.13258784586036665,3,11,1
Offshore spotted dolphin,1,3,0.8782961571196866,0.017642562348444746,2,11,1
Offshore spotted dolphin,1,4,0.38826240155275865,0.1452156432460688,4,11,1
Offshore spotted dolphin,1,5,0.5088351022905334,0.21098630645765004,4,11,1
Offshore spotted dolphin,1,6,0.5538804230254754,0.23866859658236772,2,11,1
Offshore spotted dolphin,1,7,0.3939201133916064,0.17704095269696551,4,11,1
Offshore spotted dolphin,1,8,0.402305427353681,0.19432556872752946,3,11,1
Offshore spotted dolphin,1,9,0.7542068656191334,0.09823278296947653,4,11,1
Offshore spotted dolphin,2,0,0.5659170484812023,0.023263234603972806,4,11,2
Offshore spotted dolphin,2,1,0.5614820725249126,0.19897951101849753,4,11,2
Offshore spotted dolphin,2,2,0.42923239177052136,0.17981980745275442,4,11,2
Offshore spotted dolphin,2,3,0.5631480297386968,0.17169137898404524,4,11,2
